pathogen,type,target,human.target,domestic.target,wild.target,livestock.target,companion.target,transmission,direct,indirect,vector,trophic,vector.id,fleas,ticks,mosquitoes,flies,vector.req,region,region.standard,n.america,s.america,europe,asia,africa,oceania,worldwide,environment.reservoir,domestic.reservoir,wild.reservoir,livestock.reservoir,companion.reservoir,reservoir.type,single,multiple,complex,taxon,mammal,environment.1,mollusk,arthropod,fish,amphibian,bird,annelid,helminth,reptile,orders,artiodactyla,carnivora,rodentia,perissodactyla,primates,cetacea,soricomorpha,chiroptera,cingulata,didelphimorphia,diprotodontia,erinaceomorpha,hyracoidea,lagomorpha,pilosa,cef,confidence,reservoir,species,MSW05_Order,MSW05_Family,MSW05_Genus,MSW05_Species,AdultMass_g,SexMat_d,Gest_d,IBI_d,LitterSize,Litters_Yr,BirthWt_g,Wean_d,WeanWt_g,MaxLong_m
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,high,"tree squirrels (Sciurus griseus, Sciurus carolinensis, Sciurus niger)",Sciurus carolinensis,Rodentia,Sciuridae,Sciurus,carolinensis,545.4,337.88,44.79,126.0641843,2.98,2,15.17,69.47,200,288
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,high,"tree squirrels (Sciurus griseus, Sciurus carolinensis, Sciurus niger)",Sciurus niger,Rodentia,Sciuridae,Sciurus,niger,800,353,44,365,3,1,15,84,215.6776572,192
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,eastern North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Soricomorpha",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,D,high,"white-footed mice (Peromyscus leucopus), eastern chipmunks (Tamias striatus), cinereus shrews (Sorex cinereus)",Peromyscus leucopus,Rodentia,Cricetidae,Peromyscus,leucopus,18.07,45.15,23.17,26.6,4.27,4.5,1.8,21.49,8.94,38
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,eastern North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Soricomorpha",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,D,high,"white-footed mice (Peromyscus leucopus), eastern chipmunks (Tamias striatus), cinereus shrews (Sorex cinereus)",Tamias striatus,Rodentia,Sciuridae,Tamias,striatus,96,207.5,31,120.0821382,5,1.5,3.4,36,50.5,114
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,eastern North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Soricomorpha",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,D,high,"white-footed mice (Peromyscus leucopus), eastern chipmunks (Tamias striatus), cinereus shrews (Sorex cinereus)",Sorex cinereus,Soricomorpha,Soricidae,Sorex,cinereus,4.2,147.56,18.11,59.81287625,6.49,2.293956245,0.28,19.88,3.49,23
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,Europe,EU,0,0,1,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,high,"wood mice (Apodemus sylvaticus), bank voles (Myodes glareolus)",Apodemus sylvaticus,Rodentia,Muridae,Apodemus,sylvaticus,21.9,57.93,23.68,41.28,5.16,3.75,1.5,19.36,8.999023629,52.8
Anaplasma phagocytophilum,bacteria,"horses, dogs, humans",1,1,0,1,1,VB,0,0,1,0,ticks,0,1,0,0,Y,Europe,EU,0,0,1,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,high,"wood mice (Apodemus sylvaticus), bank voles (Myodes glareolus)",Myodes glareolus,Rodentia,Cricetidae,Myodes,glareolus,20.73,40.91,19.74,21.75,4.31,3.5,1.83,19.73,9.43,58.8
Ancylostoma braziliense,helminth,humans,1,0,0,0,0,"IC, DC",1,1,0,0,none,0,0,0,0,NA,North America,NA,1,0,0,0,0,0,0,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Ancylostoma braziliense,helminth,humans,1,0,0,0,0,"IC, DC",1,1,0,0,none,0,0,0,0,NA,North America,NA,1,0,0,0,0,0,0,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Ancylostoma caninum,helminth,humans,1,0,0,0,0,"IC, T, DC",1,1,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,environment + dogs (Canis lupus),Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Ancylostoma ceylanicum,helminth,humans,1,0,0,0,0,"IC, T, DC",1,1,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Ancylostoma ceylanicum,helminth,humans,1,0,0,0,0,"IC, T, DC",1,1,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Ancylostoma duodenale,helminth,humans,1,0,0,0,0,"IC, DC",1,1,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Ancylostoma duodenale,helminth,humans,1,0,0,0,0,"IC, DC",1,1,0,0,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,1,1,0,0,1,complex,0,0,1,"mammal, environment",1,1,0,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,high,"environment + dogs (Canis lupus), cats (Felis catus)",Felis catus,Carnivora,Felidae,Felis,catus,2884.8,296.98,62.99,100,4,2,113,56,856.5147446,408
Andes virus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,high,long-tailed rice rats (Oligoryzomys longicaudatus),Oligoryzomys longicaudatus,Rodentia,Cricetidae,Oligoryzomys,longicaudatus,27.54,27.72,23.03433537,24.68780712,4.77,3.11764295,2.392493605,18.77798029,10.97736343,33.56525925
Angiostrongylus cantonensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,0,1,0,0,complex,0,0,1,"mammal, mollusk",1,0,1,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"land and freshwater snails and slugs + rats (Rattus rattus, Rattus norvegicus)",Rattus rattus,Rodentia,Muridae,Rattus,rattus,142.68,115.29,23.45,31.25,5.88,3.75,4.53,28,37.01,50.4
Angiostrongylus cantonensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,Worldwide,W,0,0,0,0,0,0,1,0,0,1,0,0,complex,0,0,1,"mammal, mollusk",1,0,1,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"land and freshwater snails and slugs + rats (Rattus rattus, Rattus norvegicus)",Rattus norvegicus,Rodentia,Muridae,Rattus,norvegicus,282.89,55.23,21.74,35,8.99,3.5,5.8,25.37,53.07,45.6
Angiostrongylus costaricensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,"South America, Central America","SA,NA",1,1,0,0,0,0,0,0,0,1,0,0,complex,0,0,1,"mammal, mollusk",1,0,1,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"land and freshwater snails and slugs + cotton rats (Sigmodon hispidus), rats (Rattus rattus)",Sigmodon hispidus,Rodentia,Cricetidae,Sigmodon,hispidus,110.65,50.19,27,26.9511884,5.44,2,6.6,15.29,18.2,62.4
Angiostrongylus costaricensis,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,"South America, Central America","SA,NA",1,1,0,0,0,0,0,0,0,1,0,0,complex,0,0,1,"mammal, mollusk",1,0,1,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,high,"land and freshwater snails and slugs + cotton rats (Sigmodon hispidus), rats (Rattus rattus)",Rattus rattus,Rodentia,Muridae,Rattus,rattus,142.68,115.29,23.45,31.25,5.88,3.75,4.53,28,37.01,50.4
Angiostrongylus vasorum,helminth,dogs,0,1,0,0,1,T,0,0,0,1,none,0,0,0,0,NA,"Europe, Africa, North America, South America","EU,AF,NA,SA",1,1,1,0,1,0,0,0,0,1,0,0,complex,0,0,1,"mammal, mollusk",1,0,1,0,0,0,0,0,0,0,Carnivora,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,high,land and freshwater snails and slugs + foxes (Vulpes vulpes),Vulpes vulpes,Carnivora,Canidae,Vulpes,vulpes,4820.36,321.07,52.5,365,4.59,1,100.49,50.71,1487.48,180
Araraquara virus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,South America,SA,0,1,0,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Rodentia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,high,hairy-tailed bolo mice (Necromys lasiurus),Necromys lasiurus,Rodentia,Cricetidae,Necromys,lasiurus,39.93,39.06,21.97,20.45171562,4.5,3.418638998,3.57,18.82560739,17.74885776,36.19591711
Artyfechinostomum malayanum,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,southeast Asia,AS,0,0,0,1,0,0,0,1,1,1,1,1,complex,0,0,1,"environment, mollusk, amphibian, mammal",1,1,1,0,0,1,0,0,0,0,"Carnivora, Rodentia, Artiodactyla, Soricomorpha",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"environment + freshwater snails (Indoplanorbis exustus, Gyraulus convexiusculus) + snails and tadpoles + dogs (Canis lupus), pigs (Sus scrofa), Asian house shrews (Suncus murinus)",Canis lupus,Carnivora,Canidae,Canis,lupus,31756.51,679.37,63.5,365,4.98,2,412.31,44.82,5250,354
Artyfechinostomum malayanum,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,southeast Asia,AS,0,0,0,1,0,0,0,1,1,1,1,1,complex,0,0,1,"environment, mollusk, amphibian, mammal",1,1,1,0,0,1,0,0,0,0,"Carnivora, Rodentia, Artiodactyla, Soricomorpha",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"environment + freshwater snails (Indoplanorbis exustus, Gyraulus convexiusculus) + snails and tadpoles + dogs (Canis lupus), pigs (Sus scrofa), Asian house shrews (Suncus murinus)",Sus scrofa,Artiodactyla,Suidae,Sus,scrofa,84471.54,350.76,115.2,230,4.52,1.5,807.77,97.88,6469.99,252
Artyfechinostomum malayanum,helminth,humans,1,0,0,0,0,T,0,0,0,1,none,0,0,0,0,NA,southeast Asia,AS,0,0,0,1,0,0,0,1,1,1,1,1,complex,0,0,1,"environment, mollusk, amphibian, mammal",1,1,1,0,0,1,0,0,0,0,"Carnivora, Rodentia, Artiodactyla, Soricomorpha",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"environment + freshwater snails (Indoplanorbis exustus, Gyraulus convexiusculus) + snails and tadpoles + dogs (Canis lupus), pigs (Sus scrofa), Asian house shrews (Suncus murinus)",Suncus murinus,Soricomorpha,Soricidae,Suncus,murinus,43.76,32.44,30.19,56.2,3.1,9.8,2.44,19.16,25.87,30
Australian bat lyssavirus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Australia,AU,0,0,0,0,0,1,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Chiroptera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,medium,"pteropid bats (Pteropus alecto, Pteropus poliocephalus, Pteropus scapulatus, Pteropus conspicillatus), yellow-bellied sheath-tailed bats (Saccolaimus flaviventris)",Pteropus alecto,Chiroptera,Pteropodidae,Pteropus,alecto,610.13,460.3494418,170.3838612,365,1,1,54.55812214,89.17,104.4824297,236.4
Australian bat lyssavirus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Australia,AU,0,0,0,0,0,1,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Chiroptera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,medium,"pteropid bats (Pteropus alecto, Pteropus poliocephalus, Pteropus scapulatus, Pteropus conspicillatus), yellow-bellied sheath-tailed bats (Saccolaimus flaviventris)",Pteropus poliocephalus,Chiroptera,Pteropodidae,Pteropus,poliocephalus,702.78,536.12,187.72,365,1,1,70,120,132.6498186,283.2
Australian bat lyssavirus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Australia,AU,0,0,0,0,0,1,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Chiroptera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,medium,"pteropid bats (Pteropus alecto, Pteropus poliocephalus, Pteropus scapulatus, Pteropus conspicillatus), yellow-bellied sheath-tailed bats (Saccolaimus flaviventris)",Pteropus scapulatus,Chiroptera,Pteropodidae,Pteropus,scapulatus,380.35,566.36,170.1796943,365,1,1,52.88646833,133.76,114.6781078,189.6
Australian bat lyssavirus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Australia,AU,0,0,0,0,0,1,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Chiroptera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,medium,"pteropid bats (Pteropus alecto, Pteropus poliocephalus, Pteropus scapulatus, Pteropus conspicillatus), yellow-bellied sheath-tailed bats (Saccolaimus flaviventris)",Pteropus conspicillatus,Chiroptera,Pteropodidae,Pteropus,conspicillatus,760.71,755.15,180,364.5438001,1,1,67.55641454,139.51,145.1863037,255.2942104
Australian bat lyssavirus,virus,humans,1,0,0,0,0,DC,1,0,0,0,none,0,0,0,0,NA,Australia,AU,0,0,0,0,0,1,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,Chiroptera,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,medium,"pteropid bats (Pteropus alecto, Pteropus poliocephalus, Pteropus scapulatus, Pteropus conspicillatus), yellow-bellied sheath-tailed bats (Saccolaimus flaviventris)",Saccolaimus flaviventris,Chiroptera,Emballonuridae,Saccolaimus,flaviventris,45.25,290.9937964,99.48640041,171.5131689,0.998059539,2,6.167090429,53.28143557,17.40370613,90.62012263
Babesia capreoli,protozoa,alpine chamois,0,0,1,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,Europe,EU,0,0,1,0,0,0,0,0,0,1,0,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,roe deer (Capreolus capreolus),Capreolus capreolus,Artiodactyla,Cervidae,Capreolus,capreolus,22502.01,400.97,196,365,1.79,1,1208.55,79.75,8692.5,204
Babesia divergens,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,Europe,EU,0,0,1,0,0,0,0,0,1,0,1,0,single species,1,0,0,mammal,1,0,0,0,0,0,0,0,0,0,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,medium,cattle (Bos taurus),Bos taurus,Artiodactyla,Bovidae,Bos,taurus,618642.42,755.15,280.48,365,1,1,38000,213.5115627,275000,240
Babesia microti,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Carnivora, Soricomorpha",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"white-footed mice (Peromyscus leucopus), meadow voles (Microtus pennsylvanicus), shrews (Blarina brevicauda), eastern chipmunks (Tamias striatus), raccoons (Procyon lotor)",Peromyscus leucopus,Rodentia,Cricetidae,Peromyscus,leucopus,18.07,45.15,23.17,26.6,4.27,4.5,1.8,21.49,8.94,38
Babesia microti,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Carnivora, Soricomorpha",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"white-footed mice (Peromyscus leucopus), meadow voles (Microtus pennsylvanicus), shrews (Blarina brevicauda), eastern chipmunks (Tamias striatus), raccoons (Procyon lotor)",Microtus pennsylvanicus,Rodentia,Cricetidae,Microtus,pennsylvanicus,42.53,31.74,21.24,21.19,5.16,2.7,2.4,12.92,13.14,11
Babesia microti,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Carnivora, Soricomorpha",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"white-footed mice (Peromyscus leucopus), meadow voles (Microtus pennsylvanicus), shrews (Blarina brevicauda), eastern chipmunks (Tamias striatus), raccoons (Procyon lotor)",Blarina brevicauda,Soricomorpha,Soricidae,Blarina,brevicauda,18.56,71.19,20.58,54.93995678,5.39,3,0.89,21.91,11.81941486,33
Babesia microti,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Carnivora, Soricomorpha",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"white-footed mice (Peromyscus leucopus), meadow voles (Microtus pennsylvanicus), shrews (Blarina brevicauda), eastern chipmunks (Tamias striatus), raccoons (Procyon lotor)",Tamias striatus,Rodentia,Sciuridae,Tamias,striatus,96,207.5,31,120.0821382,5,1.5,3.4,36,50.5,114
Babesia microti,protozoa,humans,1,0,0,0,0,VB,0,0,1,0,ticks,0,1,0,0,Y,North America,NA,1,0,0,0,0,0,0,0,0,1,0,0,multiple species,0,1,0,mammal,1,0,0,0,0,0,0,0,0,0,"Rodentia, Carnivora, Soricomorpha",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,A,high,"white-footed mice (Peromyscus leucopus), meadow voles (Microtus pennsylvanicus), shrews (Blarina brevicauda), eastern chipmunks (Tamias striatus), raccoons (Procyon lotor)",Procyon lotor,Carnivora,Procyonidae,Procyon,lotor,6373.72,561.28,65,365,3.06,1,82.46,104.16,1095.44,252
