Host,Endangered,Decreasing,DataDeficient,Citations,NVirion,NZoon,
amorphochilus schnablii,0,0,0,0,0,0,
amphinectomys savamis,0,0,1,0,0,0,
anathana ellioti,0,1,0,0.301029996,0,0,
andalgalomys olrogi,0,0,0,0,0,0,
andalgalomys pearsoni,0,0,0,0,0,0,
andinomys edax,0,0,0,0,0,0,
anisomys imitator,0,0,0,0,0,0,
anomalurus beecrofti,0,0,0,0.477121255,0,0,
anomalurus derbianus,0,0,0,0.301029996,0,0,
anomalurus pelii,0,0,1,0,0,0,
anomalurus pusillus,0,0,0,0.301029996,0,0,
anonymomys mindorensis,0,0,1,0,0,0,
anotomys leander,1,1,0,0,0,0,
anoura aequatoris,0,0,0,0,0,0,
anoura cadenai,0,0,1,0,0,0,
anoura caudifer,0,0,0,0.84509804,0.30103,0.30103,
anoura cultrata,0,1,0,0.301029996,0,0,
anoura fistulata,0,0,1,0.301029996,0,0,
anoura geoffroyi,0,0,0,1.204119983,0.95542425,0.95542425,
anoura latidens,0,0,0,0,0,0,
anoura luismanueli,0,0,0,0,0,0,
anoura peruana,0,0,0,0,0,0,
anourosorex assamensis,0,0,0,0,0,0,
anourosorex schmidi,0,0,1,0,0,0,
anourosorex squamipes,0,0,0,1.041392685,0.30103,0,
anourosorex yamashinai,0,0,0,0.602059991,0.30103,0,
antechinomys laniger,0,1,0,0.602059991,0,0,
antechinus adustus,0,1,0,0,0,0,
antechinus agilis,0,0,0,1.176091259,0,0,
antechinus bellus,0,1,0,0.301029996,0,0,
antechinus flavipes,0,0,0,1.380211242,0,0,
antechinus godmani,0,0,0,0.477121255,0,0,
antechinus leo,0,0,0,0,0,0,
antechinus minimus,0,1,0,0,0,0,
antechinus stuartii,0,0,0,1.799340549,0,0,
antechinus subtropicus,0,1,0,0.477121255,0,0,
antechinus swainsonii,0,0,0,0.903089987,0,0,
anthops ornatus,0,1,0,0,0,0,
antidorcas marsupialis,0,0,0,1.875061263,1.041393,0.69897,
antilocapra americana,0,0,0,2,1.1139434,0.7781513,
antilope cervicapra,0,0,0,1.662757832,0.7781513,0.4771213,
antrozous pallidus,0,0,0,1.544068044,0.30103,0.30103,
aonyx capensis,0,1,0,0.84509804,0,0,
aonyx cinereus,0,1,0,1.204119983,0,0,
aonyx congicus,0,1,0,0,0,0,
aotus azarae,0,1,0,1.698970004,0.4771213,0.4771213,
aotus brumbacki,0,1,0,0.301029996,0,0,
aotus griseimembra,0,1,0,0.477121255,0,0,
aotus jorgehernandezi,0,0,1,0,0,0,
aotus lemurinus,0,1,0,1.832508913,0,0,
aotus miconax,1,1,0,0,0,0,
aotus nancymaae,0,1,0,1.939519253,0,0,
aotus nigriceps,0,0,0,1.146128036,0,0,
aotus trivirgatus,0,1,0,2.977266212,1.1760913,1.079181,
aotus vociferans,0,0,0,1.556302501,0,0,
aotus zonalis,0,0,0,0.477121255,0,0,
aplodontia rufa,0,0,0,1.342422681,0,0,
apodemus agrarius,0,0,0,2.615950052,1.30103,1.1760913,
apodemus alpicola,0,0,0,0.301029996,0,0,
apodemus argenteus,0,0,0,1.653212514,0.30103,0.30103,
apodemus avicennicus,0,0,1,0,0,0,
apodemus chevrieri,0,0,0,1.322219295,0.69897,0.30103,
apodemus draco,0,0,0,0.903089987,0.4771213,0.30103,
apodemus epimelas,0,0,0,0.477121255,0,0,
apodemus flavicollis,0,0,0,2.57054294,1.23045,1.1139434,
apodemus gurkha,0,0,0,0,0,0,
apodemus hyrcanicus,0,1,0,0,0,0,
apodemus latronum,0,0,0,0.77815125,0.4771213,0,
apodemus mystacinus,0,0,0,1.146128036,0.30103,0.30103,
apodemus pallipes,0,0,0,0.301029996,0.30103,0.30103,
apodemus peninsulae,0,0,0,1.86923172,0.4771213,0.4771213,
apodemus ponticus,0,0,0,0.84509804,0.30103,0.30103,
apodemus rusiges,0,0,0,0,0,0,
apodemus semotus,0,0,0,0.954242509,0,0,
apodemus speciosus,0,0,0,2.079181246,0.60206,0.60206,
apodemus sylvaticus,0,0,0,2.684845362,1.462398,1.30103,
apodemus uralensis,0,0,0,1.462397998,0.69897,0.69897,
apodemus witherbyi,0,0,0,0.903089987,0,0,
apomys abrae,0,0,0,0,0,0,
apomys aurorae,0,0,0,0,0,0,
apomys banahao,0,0,0,0,0,0,
apomys brownorum,0,0,1,0,0,0,
apomys camiguinensis,0,0,0,0,0,0,
apomys datae,0,0,0,0.301029996,0,0,
apomys gracilirostris,0,0,0,0,0,0,
apomys hylocetes,0,0,0,0,0,0,
apomys insignis,0,1,0,0,0,0,
apomys iridensis,0,0,0,0,0,0,
apomys littoralis,0,0,1,0,0,0,
apomys lubangensis,0,0,0,0,0,0,
apomys magnus,0,0,0,0,0,0,
apomys microdon,0,0,0,0.301029996,0,0,
apomys minganensis,0,0,0,0,0,0,
apomys musculus,0,0,0,0,0,0,
apomys sacobianus,0,0,0,0,0,0,
apomys sierrae,0,0,0,0,0,0,
apomys zambalensis,0,0,0,0,0,0,
aproteles bulmerae,1,1,0,0,0,0,
arabitragus jayakari,1,1,0,0.602059991,0,0,
arborimus albipes,0,0,0,0,0,0,
arborimus longicaudus,0,1,0,0.602059991,0,0,
arborimus pomo,0,1,0,0,0,0,
archboldomys luzonensis,0,0,0,0,0,0,
archboldomys maximus,0,0,1,0,0,0,
arctictis binturong,0,1,0,1.380211242,0,0,
arctocebus aureus,0,0,0,0,0,0,
arctocebus calabarensis,0,1,0,0.477121255,0,0,
arctocephalus australis,0,0,0,1.84509804,0.60206,0.4771213,
arctocephalus forsteri,0,0,0,1.544068044,0.4771213,0,
arctocephalus galapagoensis,1,1,0,1.079181246,0.30103,0.30103,
arctocephalus gazella,0,1,0,1.973127854,0,0,
arctocephalus philippii,0,0,0,0.84509804,0,0,
arctocephalus pusillus,0,0,0,1.908485019,0,0,
arctocephalus townsendi,0,0,0,0.77815125,0,0,
arctocephalus tropicalis,0,0,0,1.414973348,0.30103,0.30103,
arctogalidia trivirgata,0,1,0,0.301029996,0,0,
arctonyx albogularis,0,1,0,0,0,0,
arctonyx collaris,0,1,0,0.84509804,0.30103,0.30103,
arctonyx hoevenii,0,0,0,0,0,0,
ardops nichollsi,0,0,0,0.301029996,0,0,
arielulus circumdatus,0,0,0,0,0,0,
arielulus cuprosus,0,0,0,0,0,0,
arielulus societatis,0,1,0,0,0,0,
arielulus torquatus,0,0,0,0,0,0,
ariteus flavescens,0,0,0,0,0,0,
artibeus aequatorialis,0,0,0,0,0,0,
artibeus amplus,0,0,0,0.301029996,0,0,
artibeus concolor,0,0,0,0,0,0,
artibeus fimbriatus,0,0,0,0.77815125,0.30103,0.30103,
artibeus fraterculus,0,1,0,0.301029996,0,0,
artibeus hirsutus,0,0,0,0.602059991,0,0,
artibeus inopinatus,0,0,1,0,0,0,
artibeus jamaicensis,0,0,0,2.021189299,1.20412,1.1760913,
artibeus lituratus,0,0,0,2.045322979,1.30103,1.278736,
artibeus obscurus,0,0,0,1,0.30103,0.30103,
artibeus planirostris,0,0,0,1.602059991,0.90309,0.69897,
artibeus schwartzi,0,0,1,0.301029996,0,0,
arvicanthis abyssinicus,0,0,0,0.698970004,0,0,
arvicanthis ansorgei,0,0,0,1.491361694,0,0,
arvicanthis blicki,0,0,0,0,0,0,
arvicanthis nairobae,0,0,0,0.301029996,0,0,
arvicanthis neumanni,0,0,0,0.602059991,0.30103,0,
arvicanthis niloticus,0,0,0,2.250420002,1.079181,0.90309,
arvicanthis rufinus,0,0,0,0.301029996,0,0,
arvicola amphibius,0,0,0,1.544068044,0.60206,0.60206,
arvicola sapidus,0,1,0,1.079181246,0,0,
arvicola scherman,0,0,0,1,0.60206,0.60206,
asellia arabica,0,0,1,0,0,0,
asellia italosomalica,0,0,1,0,0,0,
asellia patrizii,0,0,0,0,0,0,
asellia tridens,0,0,0,0.77815125,0,0,
aselliscus stoliczkanus,0,0,0,1.113943352,0.69897,0.4771213,
aselliscus tricuspidatus,0,0,0,0,0,0,
atelerix albiventris,0,0,0,2.068185862,0.84509804,0.84509804,
atelerix algirus,0,0,0,1,0,0,
atelerix frontalis,0,0,0,0.954242509,0,0,
atelerix sclateri,0,0,0,0,0,0,
ateles belzebuth,1,1,0,1.531478917,0.4771213,0.4771213,
ateles chamek,1,1,0,1.113943352,0,0,
ateles fusciceps,1,1,0,1.505149978,0.30103,0.30103,
ateles geoffroyi,1,1,0,2.305351369,0.7781513,0.60206,
ateles hybridus,1,1,0,1.176091259,0,0,
ateles marginatus,1,1,0,0.477121255,0,0,
ateles paniscus,0,1,0,1.716003344,0.84509804,0.60206,
atelocynus microtis,0,1,0,0.698970004,0,0,
atherurus africanus,0,0,0,1.204119983,0.30103,0.30103,
atherurus macrourus,0,1,0,0.602059991,0.30103,0.30103,
atilax paludinosus,0,1,0,0.954242509,0.4771213,0.4771213,
atlantoxerus getulus,0,0,0,0.903089987,0,0,
atopogale cubana,1,1,0,0,0,0,
auliscomys boliviensis,0,0,0,0.477121255,0,0,
auliscomys pictus,0,0,0,0,0,0,
auliscomys sublimis,0,0,0,0,0,0,
austronomus australis,0,1,0,0.301029996,0,0,
austronomus kuboriensis,0,0,0,0,0,0,
avahi betsileo,1,1,0,0,0,0,
avahi cleesei,1,1,0,0,0,0,
avahi laniger,0,1,0,1.146128036,0.30103,0.30103,
avahi meridionalis,1,1,0,0,0,0,
avahi mooreorum,1,1,0,0.301029996,0,0,
avahi occidentalis,0,1,0,1.041392685,0,0,
avahi peyrierasi,0,1,0,0.301029996,0,0,
avahi ramanantsoavanai,0,1,0,0,0,0,
avahi unicolor,1,1,0,0.301029996,0,0,
axis axis,0,0,0,1.886490725,0.30103,0.60206,
axis calamianensis,1,1,0,0,0,0,
axis kuhlii,1,0,0,0,0,0,
axis porcinus,1,1,0,1.176091259,0.4771213,0,
babyrousa babyrussa,0,1,0,1.431363764,0.4771213,0.30103,
babyrousa celebensis,0,1,0,0.77815125,0,0,
babyrousa togeanensis,1,1,0,0,0,0,
baeodon alleni,0,0,0,0,0,0,
baeodon gracilis,0,0,0,0,0,0,
baiomys musculus,0,0,0,0.84509804,0,0,
baiomys taylori,0,0,0,1.204119983,0.60206,0.60206,
baiyankamys habbema,0,0,1,0,0,0,
baiyankamys shawmayeri,0,0,0,0,0,0,
balaena mysticetus,0,0,0,2.123851641,0.4771213,0.30103,
balaenoptera acutorostrata,0,0,0,2.225309282,0.4771213,0.30103,
balaenoptera bonaerensis,0,0,0,1.447158031,0,0,
balaenoptera borealis,1,0,0,1.633468456,0.30103,0.30103,
balaenoptera edeni,0,0,0,1.477121255,0,0,
balaenoptera musculus,1,0,0,2.025305865,0,0,
balaenoptera omurai,0,0,1,0.77815125,0,0,
balaenoptera physalus,0,0,0,2.305351369,0.4771213,0.30103,
balantiopteryx infusca,0,1,0,0,0,0,
balantiopteryx io,0,1,0,0,0,0,
balantiopteryx plicata,0,0,0,0.84509804,0,0,
balionycteris maculata,0,0,0,0,0,0,
balionycteris seimundi,0,0,0,0,0,0,
bandicota bengalensis,0,0,0,1.924279286,0.69897,0.60206,
bandicota indica,0,0,0,1.892094603,1.1139434,0.95542425,
bandicota savilei,0,0,0,1.255272505,0.4771213,0.4771213,
barbastella barbastellus,0,1,0,1.397940009,0.60206,0.4771213,
barbastella beijingensis,0,0,1,0,0,0,
barbastella leucomelas,0,0,0,0.301029996,0,0,
bassaricyon alleni,0,1,0,0.301029996,0,0,
bassaricyon gabbii,0,1,0,0.602059991,0.30103,0.30103,
bassaricyon medius,0,1,0,0.301029996,0,0,
bassaricyon neblina,0,1,0,0.301029996,0,0,
bassariscus astutus,0,0,0,1.079181246,0.4771213,0.30103,
bassariscus sumichrasti,0,0,0,0,0,0,
bathyergus janetta,0,0,0,0.477121255,0,0,
bathyergus suillus,0,0,0,1.544068044,0,0,
batomys dentatus,0,0,1,0,0,0,
batomys granti,0,0,0,0.301029996,0,0,
batomys hamiguitan,0,0,1,0,0,0,
batomys russatus,1,1,0,0,0,0,
batomys salomonseni,0,0,0,0,0,0,
batomys uragon,0,0,0,0,0,0,
bauerus dubiaquercus,0,0,0,0,0,0,
bdeogale crassicauda,0,0,0,0.477121255,0,0,
bdeogale jacksoni,0,1,0,0,0,0,
bdeogale nigripes,0,1,0,0.301029996,0,0,
bdeogale omnivora,0,1,0,0,0,0,
beamys hindei,0,1,0,0.602059991,0,0,
beatragus hunteri,1,1,0,0.301029996,0.30103,0,
belomys pearsonii,0,0,1,0,0,0,
berardius arnuxii,0,0,0,0,0,0,
berardius bairdii,0,0,0,1.204119983,0,0,
berardius minimus,0,1,0,0,0,0,
berylmys berdmorei,0,0,0,0.602059991,0,0,
berylmys bowersi,0,1,0,0.698970004,0,0,
berylmys mackenziei,0,0,1,0,0,0,
berylmys manipulus,0,0,1,0.301029996,0,0,
bettongia anhydra,1,,0,0,0,0,
bettongia gaimardi,0,0,0,1.505149978,0.30103,0.30103,
bettongia lesueur,0,0,0,1.113943352,0,0,
bettongia penicillata,1,1,0,1.698970004,0.30103,0,
bettongia pusilla,1,,0,0,0,0,
bettongia tropica,1,1,0,0.698970004,0,0,
bibimys chacoensis,0,0,0,0,0.30103,0.30103,
bibimys labiosus,0,1,0,0,0,0,
bibimys torresi,0,1,0,0,0,0,
bison bison,0,0,0,2.729974286,1.3222193,1.041393,
bison bonasus,0,0,0,2.28780173,1.079181,0.69897,
biswamoyopterus biswasi,1,1,0,0.477121255,0,0,
biswamoyopterus laoensis,NA,0,1,0,0,0,
blanfordimys afghanus,0,0,0,0.301029996,0,0,
blanfordimys bucharensis,0,0,0,0.301029996,0,0,
blarina brevicauda,0,0,0,1.949390007,0,0,
blarina carolinensis,0,0,0,0.954242509,0,0,
blarina hylophaga,0,0,0,0.301029996,0,0,
blarinella griselda,0,0,0,0.602059991,0,0,
blarinella quadraticauda,0,0,0,0.301029996,0,0,
blarinella wardi,0,0,0,0,0,0,
blarinomys breviceps,0,1,0,0.602059991,0,0,
blastocerus dichotomus,0,1,0,1.556302501,0.60206,0.4771213,
boneia bidens,0,1,0,0,0,0,
boromys offella,1,,0,0,0,0,
boromys torrei,1,,0,0,0,0,
bos gaurus,0,1,0,1.785329835,0.60206,0.30103,
bos javanicus,1,1,0,1.857332496,0.7781513,0,
bos mutus,0,1,0,1.380211242,0.84509804,0.69897,
bos primigenius,1,,0,1.995635195,0.69897,0.60206,
bos sauveli,1,1,0,0.602059991,0,0,
boselaphus tragocamelus,0,0,0,1.556302501,0.7781513,0.69897,
brachiones przewalskii,0,0,0,0.301029996,0,0,
brachylagus idahoensis,0,0,0,1.414973348,0.4771213,0,
brachyphylla cavernarum,0,0,0,0.698970004,0,0,
brachyphylla nana,0,0,0,0,0,0,
brachytarsomys albicauda,0,0,0,0.301029996,0,0,
brachytarsomys villosa,0,0,0,0,0,0,
brachyteles arachnoides,1,1,0,1.602059991,0.30103,0.30103,
brachyteles hypoxanthus,1,1,0,1.342422681,0,0,
brachyuromys betsileoensis,0,0,0,0.301029996,0,0,
brachyuromys ramirohitra,0,0,0,0,0,0,
bradypus pygmaeus,1,1,0,0.602059991,0,0,
bradypus torquatus,0,1,0,0.954242509,0,0,
bradypus tridactylus,0,0,0,1.633468456,0.84509804,0.7781513,
bradypus variegatus,0,0,0,1.748188027,0.30103,0.90309,
brassomys albidens,0,0,1,0,0,0,
brotomys voratus,1,,0,0,0,0,
brucepattersonius griserufescens,0,0,1,0,0,0,
brucepattersonius guarani,0,0,1,0,0,0,
brucepattersonius igniventris,0,0,1,0,0,0,
brucepattersonius iheringi,0,1,0,0,0,0,
brucepattersonius misionensis,0,0,1,0,0,0,
brucepattersonius paradisus,0,0,1,0,0,0,
brucepattersonius soricinus,0,0,1,0.301029996,0,0,
bubalus arnee,1,1,0,1.278753601,0,0,
bubalus depressicornis,1,1,0,0.84509804,0,0,
bubalus mindorensis,1,1,0,0.698970004,0,0,
bubalus quarlesi,1,1,0,0.301029996,0,0,
budorcas taxicolor,0,1,0,1.491361694,0.30103,0.30103,
bullimus bagobus,0,0,0,0,0,0,
bullimus gamay,0,1,0,0,0,0,
bullimus luzonicus,0,0,0,0.301029996,0,0,
bunolagus monticularis,1,1,0,0.301029996,0,0,
bunomys andrewsi,0,0,0,0.477121255,0,0,
bunomys chrysocomus,0,0,0,0.77815125,0,0,
bunomys coelestis,1,1,0,0,0,0,
bunomys fratrorum,0,1,0,0.301029996,0,0,
bunomys karokophilus,0,0,1,0,0,0,
bunomys penitus,0,0,0,0.301029996,0,0,
bunomys prolatus,1,1,0,0.301029996,0,0,
bunomys torajae,0,0,1,0,0,0,
burramys parvus,1,1,0,1.146128036,0,0,
cabassous centralis,0,0,1,0.301029996,0.30103,0.30103,
cabassous chacoensis,0,0,0,0.477121255,0,0,
cabassous tatouay,0,0,0,0.602059991,0,0,
cabassous unicinctus,0,0,0,0.954242509,0,0,
cacajao ayresi,0,0,0,0.301029996,0,0,
cacajao calvus,0,1,0,1.447158031,0,0,
cacajao hosomi,0,1,0,0.301029996,0,0,
cacajao melanocephalus,0,0,0,1.146128036,0,0,
caenolestes caniventer,0,1,0,0,0,0,
caenolestes condorensis,0,0,0,0,0,0,
caenolestes convelatus,0,1,0,0,0,0,
caenolestes fuliginosus,0,0,0,0.602059991,0,0,
caenolestes sangay,0,0,0,0,0,0,
calcochloris obtusirostris,0,0,0,0.477121255,0,0,
calcochloris tytonis,0,0,1,0,0,0,
callibella humilis,0,0,0,0.477121255,0,0,
callicebus barbarabrownae,1,1,0,0.602059991,0,0,
callicebus coimbrai,1,1,0,1.041392685,0,0,
callicebus melanochir,0,1,0,0,0,0,
callicebus nigrifrons,0,1,0,1.342422681,0,0,
callicebus personatus,0,1,0,1.041392685,0.30103,0.30103,
callimico goeldii,0,1,0,1.949390007,0.60206,0.60206,
callistomys pictus,1,1,0,0,0,0,
callithrix aurita,1,1,0,1,0,0,
callithrix flaviceps,1,1,0,1.041392685,0,0,
callithrix geoffroyi,0,1,0,1.591064607,0.60206,0.4771213,
callithrix jacchus,0,1,0,3.320769228,1.361728,1.255273,
callithrix kuhlii,0,1,0,1.342422681,0,0,
callithrix penicillata,0,1,0,2.071882007,0.7781513,0.7781513,
callorhinus ursinus,0,1,0,2.271841607,0.84509804,0.60206,
callosciurus adamsi,0,1,0,0,0,0,
callosciurus albescens,0,0,1,0,0,0,
callosciurus baluensis,0,1,0,0,0,0,
callosciurus caniceps,0,0,0,0.602059991,0,0,
callosciurus erythraeus,0,0,0,1.462397998,0.30103,0,
callosciurus finlaysonii,0,0,0,0.84509804,0.30103,0.30103,
callosciurus inornatus,0,0,0,0,0,0,
callosciurus melanogaster,0,1,0,0,0,0,
callosciurus nigrovittatus,0,0,0,0.477121255,0,0,
callosciurus notatus,0,0,0,1.041392685,0.30103,0,
